is_canceled,lead_time,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,stays_in_nights,prt
0,69,7,27,2,2,4,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,2,0,0,Transient,65.5,0,0,6,0
1,45,7,27,2,1,3,3,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,108.8,0,1,4,1
1,40,7,27,2,1,3,3,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,108.8,0,1,4,1
0,15,7,27,2,1,3,2,0,1,Online TA,TA/TO,0,0,0,0,2,0,0,Transient,98.0,0,0,4,0
0,36,7,27,2,1,3,3,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,108.8,0,1,4,1
1,43,7,27,2,1,3,3,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,108.8,0,0,4,1
0,70,7,27,2,2,3,2,0,2,Direct,Direct,0,0,0,4,4,0,0,Transient,137.0,0,1,5,0
1,45,7,27,2,2,3,2,0,1,Online TA,TA/TO,0,0,0,6,6,0,0,Transient,117.81,0,0,5,1
0,45,7,27,2,2,3,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Contract,79.5,0,0,5,0
0,16,7,27,2,2,3,2,0,1,Direct,Direct,0,0,0,5,5,0,0,Transient,123.0,0,0,5,0
0,70,7,27,2,2,3,2,0,2,Direct,Direct,0,0,0,4,4,0,0,Transient,137.0,0,1,5,0
0,107,7,27,2,2,5,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,110.7,0,2,7,1
1,47,7,27,2,2,5,2,0,1,Online TA,TA/TO,0,0,0,6,6,0,0,Transient,153.0,0,0,7,1
0,96,7,27,2,2,5,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Transient,58.95,0,1,7,0
0,113,7,27,2,2,5,2,0,1,Offline TA/TO,TA/TO,0,0,0,4,4,0,0,Transient-Party,82.88,0,2,7,0
0,90,7,27,2,2,5,2,0,2,Offline TA/TO,TA/TO,0,0,0,0,1,1,0,Contract,82.35,0,0,7,0
0,50,7,27,2,2,5,2,0,2,Online TA,TA/TO,0,0,0,4,5,1,0,Transient,119.35,0,1,7,0
0,113,7,27,2,2,5,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Transient-Party,67.58,0,2,7,0
0,93,7,27,2,3,8,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Contract,56.01,0,0,11,0
0,76,7,27,2,4,10,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Contract,110.7,0,0,14,0
0,3,7,27,2,0,1,2,0,1,Online TA,TA/TO,0,0,0,0,2,0,0,Transient,88.2,1,0,1,0
0,1,7,27,2,0,1,2,0,1,Online TA,TA/TO,0,0,0,7,7,0,0,Transient,147.0,1,0,1,0
0,1,7,27,2,0,1,2,0,1,Direct,Direct,0,0,0,2,2,0,0,Transient,107.0,1,2,1,0
0,0,7,27,2,0,1,2,0,1,Direct,Direct,0,0,0,7,7,0,0,Transient,147.0,0,0,1,1
0,0,7,27,2,0,1,2,0,1,Online TA,TA/TO,0,0,0,0,3,0,0,Transient,117.9,0,2,1,1
0,0,7,27,2,0,1,2,0,1,Direct,Direct,0,0,0,6,6,0,0,Transient,123.0,0,0,1,1
0,14,7,27,2,0,2,2,0,1,Online TA,TA/TO,0,0,0,0,2,0,0,Transient,98.0,0,1,2,0
0,10,7,27,2,0,2,2,0,1,Online TA,TA/TO,0,0,0,6,6,0,0,Transient,117.81,0,0,2,1
0,5,7,27,2,0,2,2,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,135.0,1,2,2,0
0,17,7,27,2,0,3,2,0,1,Direct,Direct,0,0,0,5,5,0,0,Transient,133.0,0,1,3,0
0,93,7,27,2,0,3,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,2,0,0,Contract,58.95,0,0,3,0
1,3,7,27,2,0,3,2,0,2,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,136.33,0,2,3,1
0,10,7,27,3,0,2,2,0,1,Online TA,TA/TO,0,0,0,6,7,0,0,Transient,153.0,1,0,2,0
0,3,7,27,3,0,2,2,0,1,Online TA,TA/TO,0,0,0,0,2,0,0,Transient,110.5,0,0,2,0
0,51,7,27,3,0,2,2,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,97.0,0,0,2,0
1,71,7,27,3,0,2,3,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Transient,110.3,0,2,2,1
1,63,7,27,3,0,2,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,82.0,0,2,2,1
1,62,7,27,3,0,2,2,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,97.0,0,1,2,1
1,101,7,27,3,0,2,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,73.8,0,1,2,1
0,2,7,27,3,0,2,2,0,2,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Transient,91.5,0,0,2,1
0,15,7,27,3,0,2,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,114.5,0,0,2,0
1,51,7,27,3,0,2,3,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,110.3,0,0,2,1
0,3,7,27,3,1,2,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,90.9,1,0,3,0
1,48,7,27,3,1,2,2,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,123.0,0,0,3,1
0,2,7,27,3,2,2,1,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,122.0,0,0,4,1
0,72,7,27,3,2,2,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Transient,110.7,1,0,4,0
0,81,7,27,3,2,6,3,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Transient,85.86,0,0,8,1
0,99,7,27,3,2,7,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Contract,58.95,0,0,9,0
1,368,7,27,3,3,7,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Contract,55.68,0,0,10,1
0,364,7,27,3,3,7,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Contract,55.68,0,0,10,0
1,81,7,27,3,3,7,2,0,2,Direct,Direct,0,0,0,0,0,2,0,Transient,124.0,0,1,10,1
0,99,7,27,3,3,7,2,0,2,Offline TA/TO,TA/TO,0,0,0,4,4,0,0,Contract,111.15,0,0,10,0
0,324,7,27,3,4,10,2,0,2,Offline TA/TO,TA/TO,0,0,0,4,4,0,0,Contract,134.73,0,0,14,0
0,69,7,27,3,4,10,2,0,1,Online TA,TA/TO,0,0,0,5,5,1,0,Transient,92.45,0,1,14,0
1,79,7,27,3,6,15,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Transient,108.73,0,2,21,1
0,12,7,27,3,0,1,2,0,1,Online TA,TA/TO,0,0,0,0,2,0,0,Transient,73.8,0,0,1,0
0,9,7,27,3,0,1,2,0,1,Online TA,TA/TO,0,0,0,0,2,0,0,Transient,98.0,1,2,1,1
0,1,7,27,3,0,1,2,0,1,Online TA,TA/TO,0,0,0,0,2,0,0,Transient,131.0,0,1,1,0
0,21,7,27,3,0,1,2,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,123.0,0,0,1,1
0,9,7,27,3,0,1,2,0,1,Online TA,TA/TO,0,0,0,2,2,0,0,Transient,94.71,0,0,1,0
0,109,7,27,3,0,1,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,123.0,0,2,1,0
1,109,7,27,3,0,2,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,123.0,0,1,2,1
1,72,7,27,3,0,2,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,73.8,0,1,2,1
1,63,7,27,3,2,5,2,0,1,Online TA,TA/TO,0,0,0,5,5,0,0,Transient,117.0,0,1,7,1
0,63,7,27,3,2,5,3,0,2,Offline TA/TO,TA/TO,0,0,0,4,4,0,0,Transient,196.54,0,1,7,0
0,101,7,27,3,2,5,2,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,99.3,1,2,7,1
0,102,7,27,3,2,5,2,0,1,Direct,Direct,0,0,0,4,4,0,0,Transient,90.95,0,0,7,0
0,4,7,27,4,2,1,2,0,1,Direct,Direct,0,0,0,0,2,0,0,Transient,92.67,0,1,3,0
0,98,7,27,4,2,1,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Transient,71.55,1,0,3,0
0,92,7,27,4,2,4,1,0,1,Offline TA/TO,TA/TO,0,0,0,5,5,0,0,Transient,96.49,0,2,6,0
0,95,7,27,4,2,4,2,0,1,Online TA,TA/TO,0,0,0,0,2,0,0,Transient,85.8,1,2,6,1
0,102,7,27,4,2,5,2,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,96.3,0,1,7,1
1,26,7,27,4,2,5,2,0,1,Online TA,TA/TO,0,0,0,7,7,0,0,Transient,163.0,0,0,7,1
1,73,7,27,4,2,5,3,0,2,Direct,Direct,0,0,0,3,3,0,0,Transient,172.0,0,1,7,1
1,102,7,27,4,2,5,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,110.7,0,1,7,1
0,115,7,27,4,2,5,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Transient,58.95,0,1,7,1
0,102,7,27,4,2,5,2,1,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,73.8,0,2,7,1
0,86,7,27,4,2,5,2,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,97.0,0,2,7,0
0,78,7,27,4,2,5,2,1,2,Online TA,TA/TO,0,0,0,4,5,0,0,Transient,139.0,0,2,7,1
0,52,7,27,4,2,5,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,67.24,0,0,7,0
0,29,7,27,4,2,6,3,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,116.5,0,1,8,1
1,101,7,27,4,2,6,2,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,96.3,0,1,8,1
0,109,7,27,4,2,6,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,123.0,0,1,8,1
0,92,7,27,4,4,6,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Contract,71.55,0,1,10,0
0,92,7,27,4,4,6,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Contract,71.55,0,1,10,1
0,79,7,27,4,4,6,2,0,2,Direct,Direct,0,0,0,3,3,1,0,Transient,149.0,0,1,10,1
0,2,7,27,4,0,1,2,0,1,Online TA,TA/TO,0,0,0,7,6,1,0,Transient,163.0,1,0,1,1
0,30,7,27,4,0,1,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,2,0,0,Contract,79.5,0,0,1,1
1,51,7,27,4,0,1,1,0,2,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,105.0,0,0,1,1
1,36,7,27,4,0,1,1,0,1,Direct,Direct,0,0,0,4,6,1,0,Transient,123.0,0,0,1,1
1,73,7,27,4,0,1,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,73.8,0,2,1,1
1,33,7,27,4,0,1,2,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,113.0,0,0,1,1
0,32,7,27,4,0,1,4,0,3,Complementary,Direct,0,0,0,7,7,2,0,Transient,0.0,0,1,1,1
0,8,7,27,4,0,1,2,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,123.0,0,0,1,0
0,100,7,27,4,1,1,2,0,1,Online TA,TA/TO,0,0,0,0,2,0,0,Transient-Party,73.8,1,1,2,0
0,1,7,27,4,1,1,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,114.5,0,0,2,1
0,100,7,27,4,1,1,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient-Party,73.8,0,2,2,0
0,100,7,27,4,1,1,2,0,1,Online TA,TA/TO,0,0,0,0,2,0,0,Transient-Party,73.8,0,1,2,0
0,9,7,28,5,1,0,2,0,1,Online TA,TA/TO,0,0,0,0,2,0,0,Transient,88.2,0,1,1,0
1,5,7,28,5,1,0,2,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,97.0,0,0,1,1
0,0,7,28,5,1,0,2,0,1,Online TA,TA/TO,0,0,0,0,2,1,0,Transient,85.1,0,0,1,0
0,9,7,28,5,1,0,1,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,89.0,0,0,1,0
0,2,7,28,5,1,0,1,0,1,Online TA,TA/TO,0,0,0,0,3,0,0,Transient,80.1,0,0,1,1
0,2,7,28,5,1,0,2,0,1,Online TA,TA/TO,0,0,0,0,4,0,0,Transient,98.0,0,0,1,1
0,9,7,28,5,1,0,1,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,101.0,1,0,1,0
1,5,7,28,5,1,0,2,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,97.0,0,0,1,1
0,2,7,28,5,1,0,2,0,1,Direct,Direct,0,0,0,6,6,0,0,Transient,167.0,0,1,1,1
0,44,7,28,5,2,0,3,0,2,Online TA,TA/TO,0,0,0,6,6,3,0,Transient,225.0,2,0,2,1
0,80,7,28,5,2,0,2,0,1,Online TA,TA/TO,0,0,0,3,4,0,0,Transient,97.0,1,0,2,0
0,97,7,28,5,2,2,2,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,87.3,0,2,4,0
0,109,7,28,5,2,3,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,3,0,0,Transient,85.59,1,2,5,0
0,30,7,28,5,2,3,2,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,123.0,0,0,5,0
0,64,7,28,5,2,3,2,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,107.0,0,0,5,1
0,39,7,28,5,2,4,2,0,1,Online TA,TA/TO,0,0,0,7,7,0,0,Transient,163.0,0,0,6,0
0,90,7,28,5,2,4,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,82.0,0,0,6,1
1,34,7,28,5,2,4,2,0,1,Online TA,TA/TO,0,0,0,7,7,0,0,Transient,163.0,0,0,6,1
1,93,7,28,5,2,5,2,0,2,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Transient,105.5,0,0,7,1
0,97,7,28,5,2,5,2,0,2,Direct,Direct,0,0,0,2,2,1,0,Transient,164.2,1,1,7,1
0,29,7,28,5,2,5,2,0,1,Online TA,TA/TO,0,0,0,5,5,0,0,Transient,97.29,0,1,7,0
1,101,7,28,5,2,5,2,0,2,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,114.0,0,1,7,1
0,27,7,28,5,2,5,2,0,1,Offline TA/TO,TA/TO,0,0,0,4,4,0,0,Transient,98.4,0,0,7,0
0,8,7,28,5,4,5,2,0,1,Online TA,TA/TO,0,0,0,7,7,1,0,Transient,175.0,1,1,9,0
0,82,7,28,5,4,6,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Transient,63.6,1,2,10,1
0,94,7,28,5,4,6,3,0,1,Direct,Direct,0,0,0,3,2,3,0,Transient,124.45,1,1,10,1
0,110,7,28,5,4,7,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Contract,110.7,0,0,11,0
0,96,7,28,5,4,10,1,0,2,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Contract,74.07,0,0,14,0
0,79,7,28,5,4,10,2,0,2,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Contract,134.1,0,0,14,0
0,115,7,28,6,1,4,2,0,1,Online TA,TA/TO,0,0,0,6,6,1,0,Transient,167.0,0,0,5,1
0,111,7,28,6,1,3,2,0,1,Online TA,TA/TO,0,0,0,0,2,0,0,Transient,123.0,0,2,4,1
0,51,7,28,6,1,3,2,0,1,Online TA,TA/TO,0,0,0,6,6,0,0,Transient,117.81,1,2,4,0
0,94,7,28,6,1,3,3,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Transient,171.32,0,1,4,0
0,81,7,28,6,1,3,2,0,2,Direct,Direct,0,0,0,6,6,0,0,Transient,210.0,1,0,4,0
0,84,7,28,6,1,3,2,1,1,Online TA,TA/TO,0,0,0,3,4,1,0,Transient,97.0,0,2,4,1
0,51,7,28,6,1,3,3,0,1,Online TA,TA/TO,0,0,0,6,6,0,0,Transient,117.81,0,2,4,0
0,111,7,28,6,0,0,2,0,1,Online TA,TA/TO,0,0,0,0,7,0,0,Transient,0.0,0,2,0,1
0,0,7,28,6,0,0,1,0,1,Direct,Direct,0,0,0,4,7,0,0,Transient,0.0,0,0,0,1
0,2,7,28,6,1,0,2,0,1,Direct,Direct,0,0,0,0,4,0,0,Transient,131.0,0,0,1,1
0,7,7,28,6,1,1,2,0,1,Online TA,TA/TO,0,0,0,0,4,0,0,Transient,98.0,0,2,2,1
0,98,7,28,6,1,1,2,0,1,Online TA,TA/TO,0,0,0,3,5,0,0,Transient,87.3,1,1,2,0
0,95,7,28,6,1,2,2,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,97.0,0,1,3,0
1,48,7,28,6,1,3,2,0,2,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,167.0,0,0,4,1
0,66,7,28,6,1,3,2,0,2,Offline TA/TO,TA/TO,0,0,0,0,4,0,0,Transient,91.5,0,0,4,1
0,104,7,28,6,1,3,2,0,1,Online TA,TA/TO,0,0,0,0,2,1,0,Transient,73.8,0,1,4,1
0,28,7,28,6,1,4,2,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,123.0,0,0,5,1
0,34,7,28,6,1,4,2,0,2,Direct,Direct,0,0,0,5,5,0,0,Transient,175.0,1,0,5,1
0,98,7,28,6,1,5,2,0,2,Online TA,TA/TO,0,0,0,0,2,0,0,Transient,117.8,1,1,6,0
0,104,7,28,6,1,5,2,0,1,Online TA,TA/TO,0,0,0,4,4,1,0,Transient,117.63,0,0,6,1
0,68,7,28,6,2,5,2,0,2,Online TA,TA/TO,0,0,0,6,6,0,0,Transient,185.0,0,0,7,1
1,86,7,28,6,2,5,1,0,2,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Transient,71.0,0,1,7,1
0,258,7,28,6,2,5,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Contract,47.25,0,0,7,0
0,111,7,28,6,3,5,2,0,2,Online TA,TA/TO,0,0,0,0,2,0,0,Transient,151.0,0,1,8,1
1,94,7,28,6,3,7,2,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,87.3,0,0,10,1
0,112,7,28,6,3,7,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Transient,120.6,0,1,10,0
0,100,7,28,6,3,7,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,1,0,Transient,63.86,0,1,10,0
0,33,7,28,6,3,7,2,0,2,Direct,Direct,0,0,0,5,5,5,0,Transient,157.1,0,1,10,1
0,97,7,28,6,3,7,2,0,2,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Contract,91.37,0,2,10,0
0,80,7,28,6,3,8,1,0,1,Direct,Direct,0,0,0,0,0,1,0,Transient,73.0,0,0,11,0
0,90,7,28,6,4,10,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Contract,110.7,0,0,14,0
0,111,7,28,6,4,10,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Contract,93.6,0,0,14,0
0,65,7,28,6,2,5,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Transient,83.5,0,0,7,1
1,67,7,28,7,0,2,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,73.8,0,1,2,1
0,55,7,28,7,0,3,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,82.0,1,2,3,0
0,21,7,28,7,0,3,2,0,2,Direct,Direct,0,0,0,5,5,0,0,Transient,185.5,0,1,3,1
0,8,7,28,7,0,0,2,0,1,Direct,Direct,0,0,0,0,0,0,0,Transient,0.0,0,1,0,1
0,8,7,28,7,0,0,2,0,1,Online TA,TA/TO,0,0,0,0,4,0,0,Transient,0.0,0,1,0,1
0,0,7,28,7,0,1,1,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,109.8,0,3,1,0
0,0,7,28,7,0,1,3,0,2,Direct,Direct,0,0,0,2,2,0,0,Transient,195.0,1,0,1,1
0,0,7,28,7,0,1,1,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,109.8,0,3,1,0
0,8,7,28,7,0,4,3,0,1,Online TA,TA/TO,0,0,0,7,7,2,0,Transient,193.0,0,1,4,0
0,66,7,28,7,0,4,2,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,97.0,0,2,4,1
0,88,7,28,7,0,4,3,0,2,Offline TA/TO,TA/TO,0,0,0,3,4,0,0,Transient,150.0,0,1,4,0
0,0,7,28,7,0,4,2,0,1,Direct,Direct,0,0,0,0,0,2,0,Transient,98.0,0,0,4,0
1,43,7,28,7,0,5,2,0,2,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Transient,91.5,0,0,5,1
1,88,7,28,7,2,5,2,0,2,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,139.0,0,2,7,1
0,54,7,28,7,2,5,2,0,1,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Transient,79.5,0,0,7,0
1,292,7,28,7,2,5,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Contract,47.25,0,0,7,1
0,112,7,28,7,4,10,2,0,2,Offline TA/TO,TA/TO,0,0,0,3,3,0,0,Contract,126.65,0,1,14,0
0,68,7,28,8,0,3,2,0,1,Online TA,TA/TO,0,0,0,4,4,0,0,Transient,107.0,0,1,3,0
0,7,7,28,8,0,4,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,131.0,1,2,4,1
0,1,7,28,8,0,4,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,131.0,1,1,4,0
1,113,7,28,8,0,4,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,123.0,0,1,4,1
0,5,7,28,8,0,4,2,0,1,Online TA,TA/TO,0,0,0,3,3,0,0,Transient,146.0,0,1,4,0
0,83,7,28,8,0,4,2,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Transient,110.7,0,1,4,1
1,105,7,28,8,0,4,2,0,1,Online TA,TA/TO,0,0,0,0,0,0,0,Transient,73.8,0,1,4,1
0,0,7,28,8,0,1,1,0,1,Offline TA/TO,TA/TO,0,0,0,0,0,0,0,Transient,61.0,0,0,1,1
1,1,7,28,8,0,1,2,0,1,Corporate,Corporate,0,0,0,0,0,0,0,Transient,104.72,0,1,1,1
1,1,7,28,8,0,1,2,0,1,Corporate,Corporate,0,0,0,0,0,0,0,Transient,104.72,0,1,1,1
0,1,7,28,8,0,2,2,0,1,Corporate,Corporate,0,0,0,0,5,0,0,Transient,104.72,1,1,2,0
1,102,7,28,8,1,4,2,0,1,Direct,Direct,0,0,0,0,0,0,0,Transient,66.42,0,1,5,1
